,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Maitum,75,PH,2020-10-27 02:34:57,74,6.04,124.5,84.2,2.24
1,Boa Esperança,68,BR,2020-10-27 02:34:57,80,-21.09,-45.57,68.43,3.09
2,Cabo San Lucas,20,MX,2020-10-27 02:32:40,69,22.89,-109.91,82.4,11.41
3,Bluff,20,NZ,2020-10-27 02:32:19,64,-46.6,168.33,57.0,8.99
4,Atuona,49,PF,2020-10-27 02:32:19,76,-9.8,-139.03,78.78,22.35
5,Avarua,100,CK,2020-10-27 02:29:38,83,-21.21,-159.78,71.6,13.87
6,New Norfolk,75,AU,2020-10-27 02:32:16,50,-42.78,147.06,60.01,4.0
7,Bathsheba,75,BB,2020-10-27 02:32:26,78,13.22,-59.52,78.8,17.22
8,Inírida,100,CO,2020-10-27 02:34:57,97,3.87,-67.92,74.75,3.49
9,Torbay,90,CA,2020-10-27 02:33:14,59,47.67,-52.73,37.99,8.05
10,Ilo,58,PE,2020-10-27 02:34:58,77,-17.64,-71.34,62.31,1.99
11,Putina,52,PE,2020-10-27 02:34:58,76,-15.47,-69.43,46.54,9.35
12,Hobart,75,AU,2020-10-27 02:31:23,58,-42.88,147.33,60.01,11.41
13,Cabittaogan,75,PH,2020-10-27 02:34:58,70,17.58,120.37,87.8,5.82
14,Hilo,90,US,2020-10-27 02:33:28,88,19.73,-155.09,75.99,9.17
15,Arraial do Cabo,6,BR,2020-10-27 02:32:45,88,-22.97,-42.03,72.05,11.3
16,Bredasdorp,47,ZA,2020-10-27 02:32:32,88,-34.53,20.04,64.4,3.36
17,Cidreira,100,BR,2020-10-27 02:34:58,92,-30.18,-50.21,65.05,14.97
18,Shetpe,98,KZ,2020-10-27 02:30:22,71,44.17,52.12,40.24,9.75
19,Busselton,76,AU,2020-10-27 02:31:16,59,-33.65,115.33,71.01,5.99
20,Ushuaia,20,AR,2020-10-27 02:34:45,39,-54.8,-68.3,48.2,14.99
21,Cape Town,0,ZA,2020-10-27 02:30:30,93,-33.93,18.42,61.0,5.82
22,Jīran,0,IN,2020-10-27 02:34:59,29,24.32,74.88,74.25,4.81
23,Flin Flon,32,CA,2020-10-27 02:30:04,90,54.77,-101.86,23.22,6.17
24,Catherinas Lust,81,GY,2020-10-27 02:34:59,82,6.4,-57.6,79.86,9.19
25,Parker,100,US,2020-10-27 02:31:44,93,32.77,-97.8,37.0,3.0
26,La Ronge,75,CA,2020-10-27 02:35:00,62,55.1,-105.28,24.8,4.7
27,Alice Springs,0,AU,2020-10-27 02:28:56,15,-23.7,133.88,80.6,9.17
28,Itoman,20,JP,2020-10-27 02:35:00,57,26.12,127.67,78.8,12.75
